"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 24, 2019","1,022.77","1,020.29","1,022.77","1,017.52","33.56M","0.24%"
"Dec 23, 2019","1,020.33","1,022.99","1,023.90","1,018.87","70.51M","-0.07%"
"Dec 20, 2019","1,021.01","1,018.22","1,024.20","1,018.22","247.33M","0.37%"
"Dec 19, 2019","1,017.27","1,015.99","1,018.63","1,014.79","97.40M","0.17%"
"Dec 18, 2019","1,015.58","1,017.01","1,017.37","1,013.66","127.77M","-0.31%"
"Dec 17, 2019","1,018.78","1,018.28","1,019.73","1,015.80","87.37M","0.08%"
"Dec 16, 2019","1,017.96","1,018.13","1,020.50","1,016.83","84.54M","0.24%"
"Dec 13, 2019","1,015.49","1,013.21","1,017.95","1,011.08","136.80M","0.25%"
"Dec 12, 2019","1,012.93","1,011.77","1,017.59","1,011.51","117.33M","0.15%"
"Dec 11, 2019","1,011.37","1,012.61","1,015.05","1,009.47","85.77M","-0.00%"
"Dec 10, 2019","1,011.40","1,011.08","1,012.51","1,008.18","85.90M","-0.00%"
"Dec 09, 2019","1,011.42","1,014.37","1,015.65","1,010.74","90.41M","-0.36%"
"Dec 06, 2019","1,015.09","1,011.03","1,016.46","1,010.39","91.32M","1.02%"
"Dec 05, 2019","1,004.87","1,008.00","1,008.00","1,002.48","121.31M","-0.41%"
"Dec 04, 2019","1,009.00","1,009.91","1,013.33","1,008.75","95.56M","0.00%"
"Dec 03, 2019","1,008.96","1,009.79","1,010.25","1,006.67","116.70M","-0.61%"
"Dec 02, 2019","1,015.14","1,020.19","1,020.25","1,011.52","94.84M","-0.34%"
"Nov 29, 2019","1,018.62","1,022.74","1,024.10","1,018.62","66.30M","-0.49%"
"Nov 28, 2019","1,023.67","1,022.04","1,024.47","1,021.39","25.21M","0.07%"
"Nov 27, 2019","1,022.95","1,020.23","1,023.25","1,018.16","73.82M","0.37%"
"Nov 26, 2019","1,019.15","1,018.30","1,020.09","1,015.24","133.38M","-0.01%"
"Nov 25, 2019","1,019.30","1,016.18","1,020.17","1,015.67","110.80M","0.48%"
"Nov 22, 2019","1,014.48","1,018.31","1,018.31","1,013.47","81.15M","-0.30%"
"Nov 21, 2019","1,017.57","1,018.59","1,018.59","1,013.81","95.85M","-0.02%"
"Nov 20, 2019","1,017.79","1,017.75","1,020.30","1,014.89","112.63M","-0.12%"
"Nov 19, 2019","1,019.05","1,020.64","1,020.64","1,015.37","96.98M","-0.04%"
"Nov 18, 2019","1,019.47","1,018.03","1,019.50","1,017.31","71.88M","-0.04%"
"Nov 15, 2019","1,019.86","1,016.62","1,019.86","1,016.02","76.00M","0.41%"
"Nov 14, 2019","1,015.68","1,016.02","1,017.22","1,013.48","73.30M","-0.03%"
"Nov 13, 2019","1,016.03","1,011.92","1,017.91","1,010.98","88.97M","0.30%"
"Nov 12, 2019","1,012.97","1,012.42","1,014.41","1,011.03","117.46M","0.19%"
"Nov 11, 2019","1,011.04","1,008.12","1,011.89","1,007.21","66.13M","0.05%"
"Nov 08, 2019","1,010.54","1,005.34","1,010.66","1,005.34","94.45M","0.49%"
"Nov 07, 2019","1,005.61","1,004.61","1,007.17","1,004.19","116.73M","0.40%"
"Nov 06, 2019","1,001.56","998.91","1,002.86","997.33","99.01M","0.33%"
"Nov 05, 2019","998.31","997.18","999.43","996.70","114.65M","0.08%"
"Nov 04, 2019","997.56","996.44","998.33","995.80","138.34M","0.46%"
"Nov 01, 2019","992.95","989.93","994.16","989.43","104.41M","0.67%"
"Oct 31, 2019","986.33","987.26","987.26","981.53","113.78M","-0.28%"
"Oct 30, 2019","989.12","982.84","989.12","980.09","75.43M","0.62%"
"Oct 29, 2019","983.07","977.58","985.51","976.98","86.16M","0.17%"
"Oct 28, 2019","981.39","983.43","984.68","981.39","75.93M","-0.02%"
"Oct 25, 2019","981.54","978.73","982.79","977.83","73.83M","0.23%"
"Oct 24, 2019","979.32","979.75","981.93","976.83","75.69M","0.24%"
"Oct 23, 2019","976.96","980.72","981.39","975.31","87.61M","-0.42%"
"Oct 22, 2019","981.11","986.48","987.36","981.11","83.48M","-0.19%"
"Oct 21, 2019","982.93","982.85","984.24","982.39","70.50M","0.29%"
"Oct 18, 2019","980.04","984.37","985.47","980.01","78.72M","-0.28%"
"Oct 17, 2019","982.75","985.07","985.88","980.88","73.02M","-0.13%"
"Oct 16, 2019","983.98","984.44","985.26","982.57","77.67M","0.05%"
"Oct 15, 2019","983.45","984.00","989.60","983.45","104.17M","0.08%"
"Oct 11, 2019","982.65","986.97","989.45","982.54","91.76M","0.02%"
"Oct 10, 2019","982.49","979.05","984.26","978.41","86.89M","0.32%"
"Oct 09, 2019","979.34","976.19","981.24","973.81","92.57M","0.67%"
"Oct 08, 2019","972.82","977.45","978.13","972.16","95.77M","-0.87%"
"Oct 07, 2019","981.34","981.35","984.44","979.79","76.21M","-0.17%"
"Oct 04, 2019","983.06","979.29","983.33","977.39","90.63M","0.50%"
"Oct 03, 2019","978.16","973.86","978.20","967.83","123.41M","0.29%"
"Oct 02, 2019","975.34","981.15","982.33","969.87","107.39M","-0.98%"
"Oct 01, 2019","985.03","999.69","1,001.26","983.89","111.98M","-1.29%"
"Sep 30, 2019","997.93","997.81","1,001.83","997.81","99.07M","-0.12%"
"Sep 27, 2019","999.15","1,003.72","1,003.72","996.30","95.89M","-0.49%"
"Sep 26, 2019","1,004.10","1,003.68","1,004.54","1,001.05","98.28M","0.05%"
"Sep 25, 2019","1,003.58","1,002.45","1,004.51","999.38","94.13M","-0.02%"
"Sep 24, 2019","1,003.77","1,009.04","1,011.98","1,001.75","106.54M","-0.43%"
"Sep 23, 2019","1,008.12","1,009.06","1,009.97","1,006.93","81.65M","-0.31%"
"Sep 20, 2019","1,011.25","1,012.14","1,015.35","1,009.32","228.08M","0.19%"
"Sep 19, 2019","1,009.36","1,007.50","1,012.96","1,007.50","108.57M","0.36%"
"Sep 18, 2019","1,005.77","1,006.42","1,008.47","1,001.85","113.48M","-0.11%"
"Sep 17, 2019","1,006.85","1,001.00","1,008.58","1,000.13","112.29M","0.50%"
"Sep 16, 2019","1,001.88","998.96","1,003.34","998.64","138.03M","0.33%"
"Sep 13, 2019","998.54","998.27","1,003.35","998.27","114.61M","0.24%"
"Sep 12, 2019","996.14","993.80","999.33","991.18","142.03M","0.32%"
"Sep 11, 2019","992.96","989.84","993.92","988.66","105.78M","0.49%"
"Sep 10, 2019","988.09","983.32","988.09","982.91","121.24M","0.30%"
"Sep 09, 2019","985.16","989.50","989.70","982.92","111.49M","-0.29%"
