"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2020","886.85","880.46","888.83","876.97","120.88M","0.64%"
"May 14, 2020","881.22","872.68","884.02","862.56","156.36M","-0.09%"
"May 13, 2020","882.04","905.12","905.12","876.81","142.62M","-2.44%"
"May 12, 2020","904.10","920.57","922.18","904.10","144.67M","-1.39%"
"May 11, 2020","916.89","901.27","917.96","900.17","129.45M","1.25%"
"May 08, 2020","905.55","905.17","906.97","901.33","159.78M","0.90%"
"May 07, 2020","897.50","906.53","910.18","896.22","176.02M","-0.14%"
"May 06, 2020","898.73","899.36","903.19","893.55","162.01M","0.19%"
"May 05, 2020","896.99","902.18","904.59","893.93","145.47M","0.44%"
"May 04, 2020","893.10","880.17","893.10","877.58","150.28M","1.18%"
"May 01, 2020","882.65","878.93","885.40","877.20","144.04M","-1.01%"
"Apr 30, 2020","891.63","912.56","912.56","891.63","193.28M","-3.11%"
"Apr 29, 2020","920.28","906.87","922.16","905.80","169.69M","2.92%"
"Apr 28, 2020","894.17","892.09","897.91","886.30","142.06M","1.09%"
"Apr 27, 2020","884.53","877.44","885.21","871.56","129.92M","1.30%"
"Apr 24, 2020","873.14","867.16","873.95","862.33","134.79M","1.30%"
"Apr 23, 2020","861.97","868.54","873.28","861.54","137.13M","-0.46%"
"Apr 22, 2020","865.91","861.44","866.92","854.42","125.72M","2.52%"
"Apr 21, 2020","844.63","855.47","867.19","844.63","160.10M","-3.14%"
"Apr 20, 2020","871.98","857.45","880.86","853.75","154.67M","0.01%"
"Apr 17, 2020","871.85","853.47","872.26","853.47","172.35M","3.45%"
"Apr 16, 2020","842.76","850.66","853.13","841.26","134.97M","-0.50%"
"Apr 15, 2020","847.02","849.88","854.19","843.01","132.37M","-2.02%"
"Apr 14, 2020","864.47","863.49","873.53","855.02","152.87M","1.30%"
"Apr 13, 2020","853.35","861.00","861.14","843.99","145.76M","-0.71%"
"Apr 09, 2020","859.44","854.38","869.09","850.48","198.54M","1.49%"
"Apr 08, 2020","846.79","837.56","849.55","827.67","185.33M","1.95%"
"Apr 07, 2020","830.58","852.58","858.53","828.12","193.28M","-0.11%"
"Apr 06, 2020","831.47","818.81","832.53","814.60","200.50M","4.96%"
"Apr 03, 2020","792.20","801.03","805.73","785.21","165.76M","-1.08%"
"Apr 02, 2020","800.81","792.55","809.82","789.07","228.96M","1.63%"
"Apr 01, 2020","787.95","794.04","805.00","784.15","192.23M","-3.90%"
"Mar 31, 2020","819.89","801.13","829.19","801.13","272.60M","2.67%"
"Mar 30, 2020","798.60","779.44","799.27","766.11","189.15M","3.43%"
"Mar 27, 2020","772.12","789.57","790.56","768.29","223.74M","-5.40%"
"Mar 26, 2020","816.23","802.48","829.69","801.00","211.61M","1.70%"
"Mar 25, 2020","802.55","773.36","838.20","766.26","269.54M","3.90%"
"Mar 24, 2020","772.42","728.86","773.22","722.87","240.55M","12.39%"
"Mar 23, 2020","687.27","719.88","727.37","683.81","242.23M","-4.81%"
"Mar 20, 2020","721.98","750.18","772.31","719.23","405.82M","-2.70%"
"Mar 19, 2020","742.03","711.32","748.93","694.42","253.14M","3.82%"
"Mar 18, 2020","714.74","738.62","758.16","694.77","286.49M","-6.88%"
"Mar 17, 2020","767.52","756.71","796.18","745.04","308.72M","2.91%"
"Mar 16, 2020","745.79","761.55","776.04","716.94","272.73M","-10.01%"
"Mar 13, 2020","828.77","789.28","828.77","756.91","349.37M","10.84%"
"Mar 12, 2020","747.75","814.90","814.90","744.14","374.37M","-12.51%"
"Mar 11, 2020","854.67","873.31","878.15","849.37","242.21M","-4.36%"
"Mar 10, 2020","893.62","894.80","896.70","863.33","302.83M","3.51%"
"Mar 09, 2020","863.33","908.30","910.30","862.24","288.90M","-10.59%"
"Mar 06, 2020","965.55","966.89","970.50","955.83","196.76M","-2.21%"
"Mar 05, 2020","987.40","985.95","995.69","981.49","170.60M","-1.37%"
"Mar 04, 2020","1,001.16","993.97","1,001.16","986.20","143.88M","2.22%"
"Mar 03, 2020","979.43","996.11","1,002.15","977.47","199.79M","-0.96%"
"Mar 02, 2020","988.97","975.89","989.81","965.69","199.71M","1.73%"
"Feb 28, 2020","972.15","966.68","973.07","949.97","315.86M","-2.56%"
"Feb 27, 2020","997.73","1,002.32","1,003.57","982.18","102.50M","-1.81%"
"Feb 26, 2020","1,016.17","1,022.54","1,031.66","1,015.54","159.24M","-0.74%"
"Feb 25, 2020","1,023.72","1,046.34","1,047.80","1,020.10","156.23M","-2.13%"
"Feb 24, 2020","1,046.04","1,046.85","1,048.39","1,039.67","143.18M","-1.58%"
"Feb 21, 2020","1,062.86","1,068.72","1,069.85","1,061.45","142.20M","-0.60%"
"Feb 20, 2020","1,069.29","1,067.31","1,070.48","1,063.58","127.89M","0.09%"
"Feb 19, 2020","1,068.28","1,065.98","1,069.04","1,063.80","112.23M","0.38%"
"Feb 18, 2020","1,064.28","1,062.75","1,065.67","1,061.61","180.63M","-0.06%"
"Feb 14, 2020","1,064.88","1,062.47","1,064.88","1,061.95","108.78M","0.12%"
"Feb 13, 2020","1,063.57","1,059.96","1,064.21","1,058.99","152.13M","-0.10%"
"Feb 12, 2020","1,064.59","1,067.31","1,067.34","1,063.79","122.84M","0.39%"
"Feb 11, 2020","1,060.47","1,061.31","1,063.29","1,060.12","96.06M","0.15%"
"Feb 10, 2020","1,058.92","1,052.59","1,059.09","1,052.59","97.34M","0.56%"
"Feb 07, 2020","1,053.03","1,055.47","1,056.46","1,051.57","96.76M","-0.53%"
"Feb 06, 2020","1,058.65","1,054.54","1,058.65","1,053.06","99.94M","0.59%"
"Feb 05, 2020","1,052.46","1,052.31","1,053.83","1,049.17","113.02M","0.70%"
"Feb 04, 2020","1,045.18","1,044.46","1,047.57","1,043.55","120.88M","0.89%"
"Feb 03, 2020","1,036.00","1,035.47","1,040.82","1,035.47","89.03M","0.29%"
"Jan 31, 2020","1,032.97","1,041.18","1,041.72","1,030.05","100.15M","-1.10%"
"Jan 30, 2020","1,044.44","1,039.54","1,045.28","1,037.45","81.32M","-0.04%"
"Jan 29, 2020","1,044.82","1,047.93","1,048.58","1,044.70","79.51M","-0.03%"
"Jan 28, 2020","1,045.14","1,043.36","1,046.30","1,041.78","98.51M","0.38%"
"Jan 27, 2020","1,041.19","1,036.95","1,042.84","1,035.52","99.35M","-0.65%"
"Jan 24, 2020","1,047.97","1,051.96","1,053.07","1,044.84","86.35M","-0.35%"
"Jan 23, 2020","1,051.69","1,047.80","1,051.69","1,046.40","186.67M","0.22%"
"Jan 22, 2020","1,049.41","1,047.10","1,053.75","1,046.05","104.01M","0.22%"
"Jan 21, 2020","1,047.14","1,046.07","1,048.38","1,045.38","121.52M","-0.13%"
"Jan 20, 2020","1,048.50","1,045.17","1,049.88","1,044.46","62.34M","0.23%"
"Jan 17, 2020","1,046.06","1,042.66","1,046.65","1,042.37","112.97M","0.45%"
"Jan 16, 2020","1,041.37","1,038.89","1,041.75","1,038.39","140.02M","0.41%"
"Jan 15, 2020","1,037.11","1,034.28","1,037.57","1,032.80","81.96M","0.35%"
"Jan 14, 2020","1,033.48","1,029.79","1,033.95","1,029.37","110.43M","0.33%"
"Jan 13, 2020","1,030.12","1,025.95","1,030.59","1,023.90","123.57M","0.43%"
"Jan 10, 2020","1,025.66","1,025.57","1,027.30","1,023.13","90.20M","-0.10%"
"Jan 09, 2020","1,026.72","1,025.65","1,028.27","1,025.21","99.54M","0.37%"
"Jan 08, 2020","1,022.96","1,021.74","1,026.72","1,021.74","116.91M","0.16%"
"Jan 07, 2020","1,021.30","1,019.30","1,022.79","1,018.76","80.86M","0.30%"
"Jan 06, 2020","1,018.26","1,013.55","1,018.26","1,013.55","88.73M","0.26%"
"Jan 03, 2020","1,015.65","1,014.73","1,017.75","1,013.14","86.82M","-0.25%"
"Jan 02, 2020","1,018.24","1,018.98","1,021.06","1,014.88","66.02M","0.33%"
"Dec 31, 2019","1,014.92","1,013.93","1,016.11","1,012.07","56.43M","-0.21%"
"Dec 30, 2019","1,017.07","1,021.74","1,021.74","1,015.01","54.59M","-0.48%"
"Dec 27, 2019","1,022.01","1,024.84","1,026.03","1,020.29","55.67M","-0.07%"
